Yahin Hoon Main,https://youtu.be/DkhZ3H5IelU, Ayushmann Khurrana(Yahin Hoon Main- 2015),angry
Kuch Kariye,https://www.youtube.com/watch?v=bnqLzCsffwY, Sukhvinder Singh and Salim Merchant(Chak de India- 2007),fear
Dangal Dangal,https://www.youtube.com/watch?v=jMfvlh0tjyo, Daler Mehndi(Dangal- 2016),fear
Roobaroo,https://www.youtube.com/watch?v=BrfRB6aTZlM, Naresh Iyer(Rang de Basanti- 2006),fear
Kar Har Maidan Fateh!,https://www.youtube.com/watch?v=RCgbE6eS-DU,  Sukhwinder Singh and Shreya Ghoshal(Sanju- 2018),fear
Ruk Jaana Nahin,https://www.youtube.com/watch?v=6J9okctVu58, Kishore Kumar(Imtihaan- 1974),fear
Ziddi dil!,https://www.youtube.com/watch?v=puKD3nkB1h4, (Mary Kom- 2014),fear
Saathi Haath Badhana,https://www.youtube.com/watch?v=gGbYRMqGGsU, Asha bhosle and Rafi (Naya Daur- 1957),fear
Duniya Mein Rehna Hai Toh,https://www.youtube.com/watch?v=wgcD4ve5iuI, Kishore Kumar(Haathi Mere Saathi- 1971),fear
Besabriyaan,https://www.youtube.com/watch?v=UBBHpoW3AKA, Armaan Malik (MS Dhoni-The Untold Story- 2016),fear
Aas Paas Hai Khuda,https://www.youtube.com/watch?v=jAUSF4_ygJg, Rahat Fateh Ali Khan(Anjana Anjani- 2010),fear
Aashayein,https://www.youtube.com/watch?v=bmyv0nRkDmc, KK and Salim Merchant (Iqbal- 2005),fear
Chale Chalo, https://www.youtube.com/watch?v=LQmHKl3oNu0, Srinivas and A.R. Rahman(Lagaan- 2001),fear
Sarfaroshi Ki Tamanna,https://www.youtube.com/watch?v=LLw0-5lmxR4, Sonu Nigam and Hariharan(The Legend Of Bhagat Singh- 2002),fear
Zinda,https://www.youtube.com/watch?v=Ax0G_P2dSBw, Siddharth Mahadevan(Bhaag Milkha Bhaag- 2013),fear
Phir Se Ud Chala,https://www.youtube.com/watch?v=2mWaqsC3U7k, Mohit Chauhan(Rockstar- 2011),fear
Brothers (Anthem),https://www.youtube.com/watch?v=IjBAgWKW12Y, Vishal Dadlani(Brothers- 2015),fear
Baadal Pe Paon Hain,https://www.youtube.com/watch?v=m0wYJnCq-4M, Hema Sardesai(Chak de India- 2007),fear
Kandhon Se Milte Hain Kandhe,https://www.youtube.com/watch?v=s_-tthrE0Hg, Sonu Nigam and Hariharan(Lakshya- 2014),fear
Saaiyaan,https://www.youtube.com/watch?v=bctCJ1OS2zU, Vishal and Shekhar(Ta Ra Rum Pum 2011),neutral
Patakha Guddi,https://www.youtube.com/watch?v=8HDTS80dlr4, A.R Rahman(Highway 2014),neutral
Dil Diyan Gallan,https://www.youtube.com/watch?v=SAcpESN_Fk4, Atif Aslam(Tiger Zinda Hai 2017),neutral
Jatt Te Jawani,https://www.youtube.com/watch?v=jBK_VpGdPWs, Dilpreet Dhillon ft Karan Aujla(Desi Crew 2021),neutral
Brown Munde,https://www.youtube.com/watch?v=VNs_cCtdbPc, A.P Dhillon(GMINXR 2020),neutral
Lahore,https://www.youtube.com/watch?v=dZ0fwJojhrs, Guru Randhawa(T-Series 2017),neutral
Naja Naja,https://www.youtube.com/watch?v=OTtxPdhvKaA, Pav Dharia(White Hill Music 2017),neutral
Badmashi,https://www.youtube.com/watch?v=3eAfhXwWUCY, Prem Dhillon (Punjabi 2021),neutral
Shape Of You,https://www.youtube.com/watch?v=JGwWNGJdvx8, Ed Sheeran (2017),neutral
Wavin' Flag,https://www.youtube.com/watch?v=WTJSt4wP2ME, K'Naan (FIFA Celebration 2010),neutral
Peaches,https://www.youtube.com/watch?v=tQ0yjYUFKAE, Justin Bieber (JB Music 2021),neutral
Lovely,https://www.youtube.com/watch?v=V1Pl8CzNzCw, Billie Eilish(Khalid 2018),neutral
Closer,https://www.youtube.com/watch?v=PT2_F-1esPk, The Chainsmokers(Halsey 2016),neutral
Skechers,https://www.youtube.com/watch?v=0-k1NDLysHs, Drip Report(Goldy Music 2020),neutral
On My Way,https://www.youtube.com/watch?v=dhYOPzcsbGM, Alan Walker and Sabrina Carpenter (AW Music 2018),neutral
